W,H,rP,cv_final,log1p_cv,otsu,percentil,mad,kmeans,gmm,probabilidade_alta_gmm
3,0.01,0.047,0.01976274832,0.01957000055,baixa,baixa,baixa,baixa,baixa,0.0302513295
3,0.01,0.05,0.02656349455,0.02621681095,baixa,baixa,baixa,baixa,baixa,0.02701064634
3,0.01,0.052,0.02348967737,0.02321804045,baixa,baixa,baixa,baixa,baixa,0.02832804489
3,0.01,0.055,0.02248020948,0.02223125372,baixa,baixa,baixa,baixa,baixa,0.02881173216
3,0.01,0.057,0.0303719377,0.02991984162,baixa,baixa,baixa,baixa,baixa,0.02567214943
3,0.01,0.06,0.02476553627,0.02446384132,baixa,baixa,baixa,baixa,baixa,0.02775367353
3,0.01,0.065,0.02397719549,0.02369425634,baixa,baixa,baixa,baixa,baixa,0.02810379784
3,0.01,0.07,0.02557046582,0.02524900979,baixa,baixa,baixa,baixa,baixa,0.02741168285
3,0.01,0.075,0.02800286986,0.02761795872,baixa,baixa,baixa,baixa,baixa,0.02646864971
3,0.01,0.08,0.02246460214,0.0222159894,baixa,baixa,baixa,baixa,baixa,0.02881941959
3,0.01,0.1,0.03563758681,0.03501726295,baixa,baixa,baixa,baixa,baixa,0.02428691943
3,0.01,0.11,0.03713673793,0.0364637797,baixa,baixa,baixa,baixa,baixa,0.02398108482
3,0.01,0.12,0.03399659615,0.03343148415,baixa,baixa,baixa,baixa,baixa,0.02466512958
3,0.01,0.14,0.05166052879,0.05037037097,baixa,baixa,baixa,baixa,baixa,0.0227576394
3,0.01,0.16,0.05056848801,0.04933143481,baixa,baixa,baixa,baixa,baixa,0.02274754056
3,0.01,0.17,0.04784973367,0.04674019171,baixa,baixa,baixa,baixa,baixa,0.02279216109
3,0.01,0.18,0.05217132296,0.05085595558,baixa,baixa,baixa,baixa,baixa,0.02276785508
3,0.01,0.2,0.06603601666,0.06394711191,baixa,baixa,baixa,baixa,baixa,0.02441831328
3,0.01,0.22,0.08018486157,0.0771321946,baixa,baixa,baixa,baixa,baixa,0.02931411281
3,0.01,0.25,0.08856816887,0.08486322616,baixa,baixa,baixa,baixa,baixa,0.03436017338
3,0.01,0.3,0.09804271422,0.09352924417,baixa,baixa,baixa,baixa,baixa,0.04291755542
3,0.01,0.35,0.1145928242,0.1084891581,baixa,baixa,baixa,baixa,baixa,0.06995118122
3,0.01,0.38,0.5770438285,0.4555520999,alta,baixa,alta,alta,alta,1
3,0.01,0.385,0.1109644081,0.1052284742,baixa,baixa,baixa,baixa,baixa,0.06221710395
3,0.01,0.395,0.5713901511,0.4519606741,alta,baixa,alta,alta,alta,1
3,0.01,0.4,0.115016199,0.1088689331,baixa,baixa,baixa,baixa,baixa,0.07093813994
3,0.01,0.41,0.9333244287,0.659241023,alta,baixa,alta,alta,alta,1
3,0.01,0.415,1.372642958,0.8640045059,alta,alta,alta,alta,alta,1
3,0.01,0.42,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.01,0.43,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.01,0.435,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.01,0.44,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.01,0.45,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.01,0.455,1.370316468,0.8630234772,alta,alta,alta,alta,alta,1
3,0.01,0.46,1.37526629,0.8651095535,alta,alta,alta,alta,alta,1
3,0.01,0.47,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.01,0.48,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.01,0.49,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.01,0.5,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
3,0.50,0.01,0.01405630362,0.01395842988,baixa,baixa,baixa,baixa,baixa,0.03402406431
3,0.50,0.03,0.02366714462,0.0233914197,baixa,baixa,baixa,baixa,baixa,0.02824572053
3,0.50,0.032,0.015832659,0.01570862988,baixa,baixa,baixa,baixa,baixa,0.03272963499
3,0.50,0.035,0.01587306778,0.01574840806,baixa,baixa,baixa,baixa,baixa,0.03270152679
3,0.50,0.037,0.01921487582,0.01903260131,baixa,baixa,baixa,baixa,baixa,0.0305673671
3,0.50,0.04,0.02117307169,0.02095203675,baixa,baixa,baixa,baixa,baixa,0.02947835143
3,0.50,0.042,0.02044055235,0.02023444812,baixa,baixa,baixa,baixa,baixa,0.02987267072
3,0.50,0.045,0.02132972516,0.0211054304,baixa,baixa,baixa,baixa,baixa,0.0293959894
3,0.50,0.047,0.01927531305,0.01909189739,baixa,baixa,baixa,baixa,baixa,0.03053205955
3,0.50,0.05,0.0279197734,0.02753712255,baixa,baixa,baixa,baixa,baixa,0.02649871089
3,0.50,0.052,0.0275810971,0.02720759089,baixa,baixa,baixa,baixa,baixa,0.02662276945
3,0.50,0.055,0.02655990157,0.02621331094,baixa,baixa,baixa,baixa,baixa,0.02701205675
3,0.50,0.057,0.01551608609,0.01539694247,baixa,baixa,baixa,baixa,baixa,0.03295185462
3,0.50,0.06,0.02173077111,0.02149802372,baixa,baixa,baixa,baixa,baixa,0.02918823469
3,0.50,0.065,0.03091850448,0.03045015679,baixa,baixa,baixa,baixa,baixa,0.02550443345
3,0.50,0.07,0.02872725099,0.02832235951,baixa,baixa,baixa,baixa,baixa,0.02621280873
3,0.50,0.075,0.02655175091,0.02620537112,baixa,baixa,baixa,baixa,baixa,0.02701525735
3,0.50,0.08,0.0333222235,0.03277907131,baixa,baixa,baixa,baixa,baixa,0.02483418673
